trial_frame,x1,y1,x2,y2,label
Clip0_frame_00000001.jpeg,,,,,
Clip0_frame_00000002.jpeg,,,,,
Clip0_frame_00000003.jpeg,,,,,
Clip0_frame_00000004.jpeg,,,,,
Clip0_frame_00000005.jpeg,,,,,
Clip0_frame_00000006.jpeg,,,,,
Clip0_frame_00000007.jpeg,,,,,
Clip0_frame_00000008.jpeg,,,,,
Clip0_frame_00000009.jpeg,,,,,
Clip0_frame_00000010.jpeg,,,,,
Clip0_frame_00000011.jpeg,,,,,
Clip0_frame_00000012.jpeg,,,,,
Clip0_frame_00000013.jpeg,,,,,
Clip0_frame_00000014.jpeg,,,,,
Clip0_frame_00000015.jpeg,,,,,
Clip0_frame_00000016.jpeg,,,,,
Clip0_frame_00000017.jpeg,,,,,
Clip0_frame_00000018.jpeg,,,,,
Clip0_frame_00000019.jpeg,,,,,
Clip0_frame_00000020.jpeg,,,,,
Clip0_frame_00000021.jpeg,,,,,
Clip0_frame_00000022.jpeg,,,,,
Clip0_frame_00000023.jpeg,,,,,
Clip0_frame_00000024.jpeg,,,,,
Clip0_frame_00000025.jpeg,,,,,
Clip0_frame_00000026.jpeg,,,,,
Clip0_frame_00000027.jpeg,,,,,
Clip0_frame_00000028.jpeg,,,,,
Clip0_frame_00000029.jpeg,,,,,
Clip0_frame_00000030.jpeg,,,,,
Clip0_frame_00000031.jpeg,,,,,
Clip0_frame_00000032.jpeg,,,,,
Clip0_frame_00000033.jpeg,816,397,959,411,durotomy
Clip0_frame_00000034.jpeg,825,374,982,387,durotomy
Clip0_frame_00000035.jpeg,829,365,1019,389,durotomy
Clip0_frame_00000036.jpeg,802,377,1012,384,durotomy
Clip0_frame_00000037.jpeg,802,377,990,393,durotomy
Clip0_frame_00000038.jpeg,811,373,985,386,durotomy
Clip0_frame_00000039.jpeg,832,379,983,391,durotomy
Clip0_frame_00000040.jpeg,801,374,968,386,durotomy
Clip0_frame_00000041.jpeg,810,378,971,384,durotomy
Clip0_frame_00000042.jpeg,810,371,967,391,durotomy
Clip0_frame_00000043.jpeg,810,374,967,391,durotomy
Clip0_frame_00000044.jpeg,807,371,968,384,durotomy
